"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
3097 5.5869483 46.02962 1360.8397 0.1762446 0.35373155 0.00117667959935144
3098 5.5517601 40.135459 1156.8125 0.20962133 0.39561136 0.00147012460478434
3099 8.3297966 74.663014 1501.3716 0.13839164 0.28220348 0.00445347221964792
3100 2.9688864 68.087986 1438.4402 0.07269315 0.33823403 0.0761966497764334
3101 3.3877316 74.65022 1541.8769 0.075522882 0.29107762 0.0646598100347212
3102 6.0761256 88.509012 1391.0618 0.075826367 0.30265857 0.0222905962573045
3103 5.448048 74.543647 1456.2283 0.077639249 0.29518828 0.0241191767488071
3104 2.5373601 79.911142 1425.1336 0.055123994 0.35297384 0.0689011946409874
3105 2.7533161 75.991086 1333.3228 0.060577312 0.28451901 0.0316377145510563
3106 2.9566108 64.141267 1154.0535 0.065745625 0.24471868 0.0349492646631826
3108 2.8083183 76.685681 1220.2781 0.043550565 0.28361649 0.0139673512802003
3109 2.543377 64.861798 1417.2212 0.041550761 0.33662251 0.0197977928810463
3110 2.0563918 68.912948 1509.4295 0.037117848 0.31257363 0.0196279640090901
3286 5.9521029 51.115995 915.58094 0.1934376 0.203529 0.0011033461690651
3289 4.8933454 42.905033 1485.3531 0.19131001 0.32997269 0.00121119290432288
3290 6.5195444 44.503585 1556.6784 0.21100227 0.38141772 0.00201847830532739
3291 6.822996 63.701788 1383.7801 0.12343121 0.36932312 0.00931157547927817
3292 2.9133841 62.375851 1468.8714 0.083920557 0.32695538 0.0702307194447767
3293 5.9356046 90.222902 1462.5557 0.073981552 0.33062411 0.0236714624262037
3294 7.8666594 75.057437 1294.4082 0.10783966 0.29056453 0.0191202122891924
3295 7.1729496 94.219549 1441.9781 0.079972924 0.27500844 0.0275150426909316
3296 2.8106626 64.457851 1377.5715 0.067317772 0.2969039 0.0678832873582351
3297 2.7848171 66.55295 1345.9936 0.066059967 0.2938605 0.0700302146759053
3298 2.5370205 73.114531 1368.5796 0.053647882 0.30428386 0.0937952009914538
3300 2.5929087 75.362719 1445.6428 0.036685198 0.29183412 0.0560409984627927
3301 2.2048231 63.583867 1368.8611 0.03955808 0.31372708 0.0184217167635666
3477 3.0422432 33.489289 608.29831 0.22470688 0.27934976 0.00268043854728333
3478 4.0003482 50.87189 776.75234 0.1880537 0.3204673 0.00127689580098545
3480 5.4773773 35.726906 1268.071 0.26302448 0.29573487 0.000341028840969272
3481 3.296517 19.638635 313.5739 0.37250356 0.41019422 0.000594395155883064
3482 10.422544 34.672039 434.92872 0.29595581 0.49248123 0.000106894161822508
3483 7.102931 59.857379 1433.8317 0.14042979 0.37356891 0.0138752219404595
3484 6.8612339 67.870564 1497.535 0.11728259 0.37701225 0.0161134220581586
3485 7.4307607 70.015836 1381.5793 0.12374621 0.28874234 0.0170797911277582
3486 7.4542656 75.884342 1363.6062 0.10695127 0.32774825 0.0173836812619419
3487 6.8649314 75.418518 1485.0321 0.1013798 0.33523788 0.0223528417173686
3488 5.7164794 64.866612 1445.6637 0.092001089 0.33336491 0.0174936182523501
3489 2.7525201 72.345093 1504.6704 0.066226475 0.30837141 0.0662389086585188
3490 2.3700299 74.910923 1511.8654 0.049749933 0.32842333 0.0884705892687999
3491 2.7821182 74.304607 1444.3331 0.046487058 0.25240196 0.0459450762810256
3492 2.7328552 69.599021 1426.3233 0.041219536 0.29933255 0.0838965576282554
3493 2.4896951 67.975388 1447.6663 0.038598603 0.26806503 0.0430987223635416
3669 2.9139075 39.519228 788.23339 0.19900228 0.22520897 0.00261718041912885
3670 2.6618984 75.217881 1387.0603 0.10375628 0.26103262 0.00417390241069391
3671 6.9264625 32.25759 679.55287 0.35560806 0.35379393 0.000171368770172591
3672 6.9693317 39.461532 1045.763 0.22882385 0.29801217 0.000256378492774823
3673 5.4899434 49.060975 1230.4344 0.17846397 0.37987702 0.000249436556640258
3675 7.1102343 55.638307 1356.5763 0.15723806 0.32641947 0.0112400670678154
