"Bulk","R14"
-184.211991281893,16.2801479739616
-90416279600.0704,18.5750044647068
-11177744825.0558,19.0111675480251
-22693624001.5984,20.0876002202779
-69272552495.9469,19.4854954577428
-32273544359.4515,19.3449057650026
-211.810253979496,16.0469171167772
-266.498466555754,15.3092979267102
-43743096054.4789,10.8614241570537
-111.187166080687,15.3647939671502
-136.736800193179,10.9558040770299
-973121824365.205,9.09996060519114
-1880812857390.37,11.3863507923559
-6623023200.78336,14.3425888806024
-1302005669.71525,14.8917223508656
-666068223525.869,14.3866649108373
-466311919140.604,15.4251215090422
-1573651144207.51,17.6439303350699
-1705399390478.81,19.7208953345174
-29922230748.9739,19.3134130095913
-80224366239.7562,19.3193260154136
-79568064644.8466,19.6446679335387
-266.501916777389,16.2308423990138
-79147603112.867,16.093037151327
-242.441036935408,9.20821672652594
-330.540799156801,9.96712793887178
-358778212.805181,8.48264955587807
-112924935026.207,10.414302299371
-1837873918184.37,11.1769712721561
-51323412140.6438,14.7894508086213
-218725727.252661,15.8405106990873
-61002279351.3474,15.532366992361
-326717002907.78,15.3539746200606
-21433960595.9605,16.2890552702915
-493110392856.236,18.8414486290129
-3626969891012.99,20.0965776703379
-250108832.522538,19.3298685802097
-250.140558533179,26.5148864650051
-165.901808043567,23.3811380129669
-256.543622420865,16.8396045756689
-1621255445866.09,15.3904735493906
-2895290357937.2,9.62176154079586
-123.379462219932,12.6762619336795
-231.85567152728,13.3372530615703
-19959155765.3049,8.49172505275608
-425448401761.796,12.5879676512994
-6080058852.85307,13.5873509557736
-264962178.779916,15.3595389347021
-32271113908.8702,15.4460741313505
-330.439894250376,17.3774541350475
-334.918784100273,19.5052441412518
-375.657294983149,18.7969153178817
-516979841828.414,19.5286687119205
-1487741287321.63,20.0862403096118
-354.511585407472,19.8653821853103
-47146078154.8753,19.8864501174842
-336.381452564897,22.7297137655869
-268.309219826842,18.9199901407537
-345.989028247355,15.4075109643892
-4008763638121.1,10.1313650420891
-123.366776440986,12.8226625124008
-112.683699667592,14.1733097628585
-128.985510252356,12.5993508564433
-323893184249.484,13.0440725786982
-11383891223.5197,13.5615250679837
-10450429338.1162,15.4001336332152
-166815362443.361,16.6172403167946
-104664318207.574,16.8384199369551
-990800707070.94,17.4189057624206
-252808965011.652,18.6514424047408
-2788505182181.74,19.8927313816715
-429511883208.692,19.9332152054481
-368.833851752323,19.3109547919226
-336.401372614102,15.7940996856629
-2959706023565.12,15.3311088527723
-370.221082522479,13.7568227197413
-128.332267881442,12.9316765082643
-123.087624162603,13.048842018748
-338.005255259427,15.3182504518212
-206581588565.706,13.1453674121491
