"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
1455 7.6026626 252.21474 1267.1037 0.060016179 0.29236338 0.879830462138312
1456 7.5893957 300.41628 1547.4208 0.054327673 0.31280699 0.574402889870192
1457 6.9682202 235.46107 1351.7915 0.060741922 0.26662615 0.817958804424293
1458 7.961603 221.27766 1445.8131 0.052980184 0.23359259 0.516500931486409
1459 7.3164029 279.19243 1357.6236 0.053577454 0.31817766 0.604071377733553
1460 6.2395584 234.24254 1314.6163 0.057253678 0.27629514 0.641128403667225
1461 7.2166764 173.00171 1101.407 0.07761265 0.23773987 0.569728949101675
1462 6.6028739 195.89445 1204.7026 0.059205366 0.25549778 0.634612925720812
1463 4.696466 139.79433 803.5207 0.056060058 0.27593307 0.751521565025548
1464 4.1193762 174.87968 1068.0668 0.048205073 0.26891696 0.614363676621361
1465 4.2622375 148.0263 798.3176 0.052767344 0.29462628 0.712929638096732
1466 4.3619521 175.16413 945.77634 0.049501725 0.29876007 0.67295338177924
1467 3.725342 146.31813 791.41697 0.053181558 0.29720314 0.598925905580795
1468 3.1779258 133.12034 648.25351 0.053178534 0.32375398 0.589353206537935
1469 2.8399791 187.76454 1114.4343 0.041254338 0.31607399 0.54523100175781
1544 12.126685 353.13649 1262.2989 0.088745797 0.26780901 0.0810327852227145
1545 12.46028 334.90578 1412.9372 0.074709434 0.29723283 0.252552924033693
1546 12.473111 324.34406 1380.2133 0.073883707 0.30274686 0.407954099616744
1547 10.387407 280.62609 1311.5032 0.067324361 0.27847374 0.296365099995532
1548 9.610727 334.07496 1672.9428 0.065142855 0.34174662 0.34301697726468
1549 8.6602758 329.1546 1516.8028 0.057153536 0.33680493 0.510153504429927
1550 7.7967342 305.0203 1550.6637 0.04394117 0.29762852 0.494091214809967
1551 7.3060919 301.73118 1493.4369 0.05733136 0.31365275 0.51762220499846
1552 7.0812885 266.7188 1300.9178 0.057226131 0.29786924 0.811678102772567
1553 7.0425068 260.20002 1356.6303 0.062594732 0.28044631 0.739943897257171
1554 6.9337152 254.75406 1280.9509 0.058117793 0.29319726 0.825066855430871
1555 6.6294924 226.36439 1168.4539 0.058756862 0.28566257 0.826061535455419
1556 7.4141372 237.97409 1308.2889 0.062083968 0.27801361 0.574239475912988
1557 7.1260375 263.49203 1308.9957 0.058176612 0.31199973 0.542283401183004
1558 6.6473877 242.90601 1399.9535 0.054846319 0.26985926 0.653257791171824
1559 6.0215991 224.72733 1192.2789 0.052116308 0.29159805 0.65475812225591
1560 4.5876452 195.72689 1047.284 0.05055382 0.30064798 0.735715663537456
1561 5.6222981 243.99652 1295.7496 0.048330568 0.30215562 0.660953424722072
1562 5.6991532 233.19323 1283.2717 0.051342649 0.28887044 0.498408064077377
1563 5.1625797 211.70274 1139.8861 0.053970595 0.28461336 0.518907061189615
1564 4.3921809 167.62618 898.8516 0.056848502 0.28557132 0.532217745754485
1565 3.4120443 138.20698 760.77924 0.055005363 0.28397259 0.453401246387126
1566 2.929092 120.74113 589.12219 0.064652936 0.29899893 0.426021703761799
1567 2.3024142 47.7085 505.70542 0.10193565 0.13733829 0.223479127304976
1639 11.421709 385.38909 1700.9541 0.12828612 0.29945086 0.00708444291552793
1640 12.911214 355.68695 1325.7019 0.088723516 0.2477876 0.103997024058407
1641 11.894283 334.55636 1254.8448 0.082320939 0.25876575 0.16043774206854
1642 11.819577 336.95148 1494.3997 0.073144986 0.29433616 0.418183165022742
1643 10.651287 315.2332 1419.6385 0.071645757 0.31741517 0.475069784878816
1644 9.3246522 317.87865 1667.3334 0.065093186 0.31665385 0.387208974393995
1645 9.1633655 339.96545 1487.732 0.05296591 0.36541115 0.517183863243653
1646 8.4770292 296.6623 1436.2383 0.051618198 0.32182837 0.517554026724524
1647 7.5345841 269.94346 1443.2616 0.050491464 0.28842673 0.493748131665501
1648 6.8851175 238.75483 1384.1207 0.05957303 0.25731437 0.624763038272203
1649 7.2023089 288.93753 1405.6699 0.061090483 0.30047234 0.675780297552903
1650 6.6094465 269.9163 1345.2201 0.053660366 0.3036352 0.840473051485132
1651 6.545468 267.77138 1359.738 0.05266993 0.29912075 0.890571439211614
1652 6.3821238 225.38072 1280.1621 0.05636771 0.27297928 0.729933058575511
1653 7.2706573 292.53923 1791.7214 0.075048239 0.27544922 0.360409182399416
1654 7.4973146 305.16608 1497.1741 0.062125029 0.32628255 0.462754511062415
1655 6.2312227 235.07033 1305.4727 0.05117948 0.2810695 0.730464276140303
1656 5.7061285 284.94473 1379.4085 0.043325357 0.33658905 0.791535218262484
1657 6.5639668 241.28174 1317.0905 0.055806546 0.27590165 0.619015196720473
1658 5.2543555 211.59609 1126.4971 0.050256647 0.29017157 0.48959141670537
1659 5.4064038 258.84104 1253.0794 0.047869277 0.31918567 0.447897463812232
1660 4.7296537 243.96439 1274.7275 0.057006879 0.30802217 0.320695392078038
1661 3.4883123 143.37828 773.13291 0.057282497 0.28762788 0.28945064391332
1662 2.8405609 132.26096 765.29152 0.039163348 0.29163502 0.301245044269905
1663 2.5096757 64.061486 524.15744 0.085173952 0.17153151 0.22534504129507
1664 2.2876082 163.64051 1047.8344 0.040879713 0.33116188 0.319013812113836
1665 1.8358162 143.74973 1167.2135 0.030788453 0.33152383 0.226018421548559
1666 2.0830368 158.46603 1248.5208 0.02302771 0.31437185 0.279125032880956
1735 12.902804 372.86702 1311.569 0.095733841 0.23625349 0.124146757829542
1736 13.028297 338.6265 1242.8807 0.087158858 0.2463459 0.197815833474379
