"id" "tau1" "tau2" "tau3" "rf" "rs" "u"
3223 6.7336472 414.55706 1173.6652 0.13053128 0.073371255 0.53426861822325
3224 6.4901881 405.50252 1183.9401 0.11623016 0.070966973 0.545701767691297
3225 6.5552721 392.75684 1270.4808 0.1135359 0.06621358 0.576905036164097
3226 6.7932739 424.01379 1040.5162 0.10247262 0.084198278 0.538002653801972
3227 6.5502715 428.4388 1232.9183 0.10005543 0.077135772 0.55622483263502
3228 5.8795814 425.13707 1237.5916 0.10005425 0.078213276 0.831138543193004
3229 5.5792266 374.34777 1191.3612 0.10747578 0.071124062 0.809165245119595
3230 5.4272489 433.16067 1207.6501 0.092038692 0.081370548 0.835463325772277
3231 5.1261048 313.78067 972.17198 0.10972986 0.072296368 0.881171390582439
3261 2.0978265 37.65595 523.99052 0.30839473 0.022016173 0.843323615717817
3377 16.35789 403.84049 1231.2279 0.28630905 0.18006471 0.0605408514889593
3378 13.171134 474.75076 1233.5436 0.23710819 0.072922171 0.200633851770082
3379 10.859562 450.69984 1167.052 0.19875953 0.061323769 0.257748407569686
3380 9.4426187 455.93988 1183.2537 0.18316477 0.064502392 0.294934674239445
3381 7.4549941 397.20086 1200.5082 0.17634783 0.067472638 0.508311842721611
3382 6.6844845 380.36856 1166.2473 0.16291843 0.068100014 0.591813054934461
3383 6.4556093 416.93198 1156.2476 0.12674866 0.074375127 0.551759882114252
3384 6.3889753 418.69589 1211.0149 0.11180367 0.072289194 0.557138241719908
3385 6.7964996 457.63069 1144.174 0.099864607 0.084062049 0.503993218724387
3386 6.9786329 430.81227 1128.642 0.10354903 0.081129379 0.496740891520884
3387 6.560495 431.03542 1036.6367 0.10069299 0.087842729 0.572440934831012
3388 5.9313488 359.27693 1141.2495 0.1156196 0.069154721 0.814455370784384
3389 5.6500749 389.52863 1106.5908 0.10661892 0.074680359 0.814843943208533
3390 5.2471525 412.46293 1144.0378 0.093391301 0.081647063 0.857180684118609
3423 2.1078343 39.019099 543.42089 0.29677743 0.020065191 0.501164103788361
3424 2.0129846 35.999567 519.15358 0.30262777 0.019152747 0.470535207587345
3537 16.615265 443.54441 734.41222 0.29517158 0.21547171 0.0612923494155371
3538 13.224384 432.51998 1132.7433 0.23973608 0.071312581 0.201829019179982
3539 10.968476 438.02346 1159.5846 0.20267777 0.059661644 0.271085951224489
3540 9.8604376 425.83647 1177.3854 0.19746509 0.059097917 0.279490293699843
3541 7.7156193 423.86071 1180.8706 0.16844572 0.071374292 0.48020427084372
3542 6.6718214 440.27292 1223.774 0.14996927 0.077301645 0.590891566332418
3543 6.4850943 430.45039 1136.2921 0.12340138 0.077849697 0.55893491664275
3544 6.6855377 431.33078 1115.5144 0.10877552 0.078670725 0.525021266661408
3545 7.7221193 423.15292 1164.2633 0.13452988 0.07893769 0.430503070998677
3546 7.5483871 433.78188 1224.3111 0.13808991 0.082925053 0.372537186724146
3547 6.6551631 406.3185 1084.1261 0.10820265 0.080217348 0.575638971859925
3548 5.9781603 421.19562 1087.7287 0.10271028 0.083527553 0.794624631829915
3549 5.8047263 428.9086 1056.5964 0.099394581 0.085427192 0.788976684483292
3583 2.1625944 184.38929 509.81839 0.14580829 0.10928592 1.37487674000073
3584 2.1328997 37.09901 513.84668 0.30628026 0.022578909 0.883186395950087
3697 16.731021 422.40595 1217.5549 0.28973246 0.21387493 0.0480304589389343
3698 12.894076 413.56964 1246.5194 0.25016636 0.066419134 0.192555131830977
3699 9.0322529 425.96021 1196.1107 0.19805915 0.058527922 0.329424166968457
3700 9.7387531 434.9588 1387.692 0.19934054 0.054799152 0.269421811938892
